snapshot_index,snapshot_name,snapshot_dir,performance_epoch,performance_run_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
1,online-critic_20260630T200713138931,artifacts/model-snapshots/online-critic_20260630T200713138931,2,artifacts/experiments/online-training-epoch-2_20260630T200713,goal_reached,True,962,9.620000000000001,10.546198538911995,0.04478188176290132,11.779640916996868,2.5503073002659216,0.6205728961624173,0.2651047089673515,83,0.5789156626506023,0.1810240963855422,9.048192771084338,36.33734939759036,0.013837701097654104,-0.04334049244129815
2,online-critic_20260630T200727008832,artifacts/model-snapshots/online-critic_20260630T200727008832,3,artifacts/experiments/online-training-epoch-3_20260630T200727,goal_reached,True,1096,10.96,16.33460770981037,0.05096089668222703,18.83568366599502,3.038910174077933,0.8814361680279827,0.2772728261020012,99,0.5598484848484849,0.16616161616161615,9.97979797979798,33.54545454545455,6.265705028515847,0.041723442035246236
3,online-critic_20260630T200748117336,artifacts/model-snapshots/online-critic_20260630T200748117336,4,artifacts/experiments/online-training-epoch-4_20260630T200748,goal_reached,True,1048,10.48,23.890503299975535,0.05235321770305745,27.700837000011234,3.29290504223607,-0.3601605761125171,0.31420849639657156,188,0.16050531914893618,0.13284574468085106,5.090425531914893,26.79787234042553,-6.269347535225124,-0.04333342685811805
4,online-critic_20260630T200819682953,artifacts/model-snapshots/online-critic_20260630T200819682953,5,artifacts/experiments/online-training-epoch-5_20260630T200819,goal_reached,True,990,9.9,12.978312335093506,0.0470067456481047,15.307096042000921,2.793925943400188,-0.348998223359414,0.2822147417575947,126,0.5382936507936508,0.08015873015873017,5.563492063492063,16.46825396825397,0.013776968441388412,-0.043126257772701834
5,online-critic_20260630T200837579317,artifacts/model-snapshots/online-critic_20260630T200837579317,6,artifacts/experiments/online-training-epoch-6_20260630T200837,goal_reached,True,949,9.49,11.73353273991961,0.04441908758599311,13.858477000001585,3.0406862428188832,1.0859936635813257,0.3204095092538339,127,0.23326771653543307,0.06909448818897639,4.425196850393701,14.511811023622048,0.013887337354499592,-0.04349886003671113
6,online-critic_20260630T200854086972,artifacts/model-snapshots/online-critic_20260630T200854086972,7,artifacts/experiments/online-training-epoch-7_20260630T200854,goal_reached,True,977,9.77,16.39855507799075,0.046874777937773615,19.473615708004218,3.503103050512469,0.5594433504864427,0.35855711878326196,126,0.42579365079365084,0.08571428571428572,6.277777777777778,17.761904761904763,0.01378173008707666,-0.043408071694507576
7,online-critic_20260630T200916227191,artifacts/model-snapshots/online-critic_20260630T200916227191,8,artifacts/experiments/online-training-epoch-8_20260630T200916,goal_reached,True,1589,15.89,25.368921208078973,0.08133713697316125,29.463278249982977,3.362545130654327,-0.646115438451223,0.21161391634073798,334,0.3517215568862276,0.07717065868263473,3.6017964071856285,15.952095808383234,-6.269430657381958,-0.043073112493712956
8,online-critic_20260630T200952890800,artifacts/model-snapshots/online-critic_20260630T200952890800,9,artifacts/experiments/online-training-epoch-9_20260630T200952,goal_reached,True,1631,16.31,26.463163884007372,0.10928092952235602,30.94428858300671,4.366561755750045,0.23728728057402074,0.26772297705395737,260,0.17384615384615384,0.058557692307692304,3.396153846153846,12.457692307692307,6.269180243262552,0.04393778868322923
9,online-critic_20260630T201030850938,artifacts/model-snapshots/online-critic_20260630T201030850938,10,artifacts/experiments/online-training-epoch-10_20260630T201030,goal_reached,True,1756,17.56,41.460565012763254,0.13526629129773937,48.198743207991356,3.5138815004033392,-0.477058536243737,0.20010714694779835,268,0.6019589552238805,0.08087686567164178,4.205223880597015,17.003731343283583,-6.269132549719688,-0.04400665082956687
10,online-critic_20260630T201126552916,artifacts/model-snapshots/online-critic_20260630T201126552916,11,artifacts/experiments/online-training-epoch-11_20260630T201126,goal_reached,True,1340,13.4,17.464079792815028,0.09335439739516005,20.14697395899566,2.8753340964607457,1.0437815870214222,0.2145771713776676,219,0.3245433789954338,0.047488584474885846,2.894977168949772,10.210045662100457,6.269338458243317,0.04314092051473502
11,online-critic_20260630T201152401524,artifacts/model-snapshots/online-critic_20260630T201152401524,12,artifacts/experiments/online-training-epoch-12_20260630T201152,goal_reached,True,1285,12.85,19.194237906078342,0.09112426231149584,22.731718082999578,2.97626358747989,0.9833036136386628,0.23161584338364902,172,0.38982558139534884,0.06235465116279071,3.645348837209302,13.377906976744185,0.013722283630590195,-0.0429773613933366
12,online-critic_20260630T201221601552,artifacts/model-snapshots/online-critic_20260630T201221601552,13,artifacts/experiments/online-training-epoch-13_20260630T201221,goal_reached,True,1344,13.44,19.84370587178273,0.09732600938878022,23.137522834003903,2.8618843354663714,0.34620959887060354,0.21293782257934313,245,0.5812244897959182,0.0473469387755102,3.0,10.289795918367346,6.269542274188032,0.04277205598897789
