snapshot_index,snapshot_name,snapshot_dir,cases,success_rate,mean_completion_time_s,mean_solver_compute_time_s,mean_torque_abs_integral_nm_s,mean_total_steps,mean_rl_segments,mean_wall_time_s
1,online-critic_20260630T200713138931,artifacts/model-snapshots/online-critic_20260630T200713138931,1,1.0,2.72,5.644645205960842,0.4466233350365687,272.0,46.0,5.977851541014388
9,online-critic_20260630T201030850938,artifacts/model-snapshots/online-critic_20260630T201030850938,1,0.0,30.0,22.128802387829637,0.306854201887137,3000.0,1225.0,23.60075225000037
17,online-critic_20260630T201443601452,artifacts/model-snapshots/online-critic_20260630T201443601452,1,0.0,30.0,31.214119042735547,0.0,3000.0,3000.0,33.299555333011085
25,online-critic_20260630T201948423961,artifacts/model-snapshots/online-critic_20260630T201948423961,1,0.0,30.0,30.542028068884974,0.0985350680397892,3000.0,2940.0,32.53246791698621
33,online-critic_20260630T202426140540,artifacts/model-snapshots/online-critic_20260630T202426140540,1,0.0,30.0,22.67755613513873,0.1699982714320988,3000.0,1848.0,24.14869491700665
41,online-critic_20260630T202904854474,artifacts/model-snapshots/online-critic_20260630T202904854474,1,0.0,30.0,18.262951810029335,0.31537414925074175,3000.0,1354.0,19.41662958401139
49,online-critic_20260630T203329892195,artifacts/model-snapshots/online-critic_20260630T203329892195,1,0.0,30.0,31.430166866834043,0.0,3000.0,3000.0,33.54585250001401
57,online-critic_20260630T203749782729,artifacts/model-snapshots/online-critic_20260630T203749782729,1,0.0,30.0,23.517185938049806,0.2010241730831619,3000.0,1853.0,25.03047516697552
65,online-critic_20260630T204209704685,artifacts/model-snapshots/online-critic_20260630T204209704685,1,0.0,30.0,31.448083833645796,0.0,3000.0,3000.0,33.579930832987884
73,online-critic_20260630T204639900793,artifacts/model-snapshots/online-critic_20260630T204639900793,1,0.0,30.0,30.43394034492667,0.04379386116580047,3000.0,2892.0,32.647580000018934
81,online-critic_20260630T205133508282,artifacts/model-snapshots/online-critic_20260630T205133508282,1,0.0,30.0,31.418773724115454,0.0,3000.0,3000.0,33.53941529200529
89,online-critic_20260630T205537348864,artifacts/model-snapshots/online-critic_20260630T205537348864,1,0.0,30.0,35.11938264474156,0.0,3000.0,3000.0,37.43766791699454
97,online-critic_20260630T210038387220,artifacts/model-snapshots/online-critic_20260630T210038387220,1,0.0,30.0,36.04391653867788,0.0,3000.0,3000.0,38.368684999994
105,online-critic_20260630T210542702463,artifacts/model-snapshots/online-critic_20260630T210542702463,1,0.0,30.0,35.50119648774853,0.0,3000.0,3000.0,37.75260854198132
113,online-critic_20260630T211042305147,artifacts/model-snapshots/online-critic_20260630T211042305147,1,0.0,30.0,28.352731654653326,0.08999926755101577,3000.0,2289.0,30.138665166014107
121,online-critic_20260630T211350154172,artifacts/model-snapshots/online-critic_20260630T211350154172,1,0.0,30.0,32.225806902570184,0.1472275399055085,3000.0,2681.0,34.259250000002794
