candidate,seed,alpha,nonzero_terms,term_count,rmse_s,mae_s,r2
linear-action,11,0.010531055707361887,3,7,0.1346276354438019,0.10626310966658974,0.9644432098486618
linear-action,23,0.02964217810187076,3,7,0.15844869355273966,0.1208283365563058,0.9588163023657996
linear-action,37,0.0037413962607747778,5,7,0.5453284856133302,0.30405051590100035,0.42616598196400957
linear-action,53,0.010531055707361887,2,7,0.22211518188230725,0.186201590425286,0.6136726384524609
linear-action,71,0.004846109895433208,2,7,0.2859650351788178,0.21051152455291802,0.8946900768740431
cubic-action,11,0.0007922758252752512,12,21,0.1040192491884556,0.07786380201115278,0.9787733459465313
cubic-action,23,0.008130408367887929,4,21,0.14460345687107487,0.11440305552884797,0.9656991121234468
cubic-action,37,0.0001,13,21,0.5280015372411249,0.22450784846137564,0.4620520008586767
cubic-action,53,0.010531055707361887,3,21,0.20691017742814324,0.17248983855164843,0.6647547092975881
cubic-action,71,0.010531055707361887,4,21,0.2880380826095257,0.21029819608744235,0.8931576953216904
power-log-action,11,0.0011679270855560683,8,35,0.10800354760886724,0.08300570314763439,0.9771160940268115
power-log-action,23,0.008130408367887929,6,35,0.14469936991356339,0.1146306918124882,0.9656535946281388
power-log-action,37,0.0002473195382353419,15,35,0.5311541811922197,0.22684041913898512,0.4556087555870132
power-log-action,53,0.010531055707361887,3,35,0.20682448416485238,0.17235895224733605,0.6650323400484484
power-log-action,71,0.010531055707361887,4,35,0.2879662583616191,0.2102527226542892,0.8932109723838282
power-log-state-action,11,0.03839455716778906,7,55,0.174008429252292,0.12719291197904706,0.9405988728390303
power-log-state-action,23,0.06441525999493217,5,55,0.22646378326371525,0.15209870653058705,0.9158710385088134
power-log-state-action,37,0.0004722340555418245,18,55,0.5331320405191999,0.2523464854764048,0.4515469067022909
power-log-state-action,53,0.0003645841237070733,16,55,0.3868602384145451,0.23838075038836828,-0.17194483650661296
power-log-state-action,71,0.08343500851569784,3,55,0.4309301678298642,0.2838477142045161,0.7608572483846178
