snapshot_index,snapshot_name,snapshot_dir,status,goal_reached,total_steps,completion_time_s,solver_compute_time_s,environment_step_wall_time_s,total_wall_time_s,torque_abs_integral_nm_s,torque_signed_integral_nm_s,mean_abs_torque_nm,rl_segments,mean_bbar,mean_hbar,mean_burst_steps,mean_horizon_steps,final_theta_rad,final_omega_rad_s
1,online-critic_20260630T200713138931,artifacts/model-snapshots/online-critic_20260630T200713138931,goal_reached,True,1196,11.96,9.76004971191287,0.054444878245703876,10.444582124997396,2.6608836298219445,-0.7504694324230619,0.22248190884798866,234,0.4883547008547009,0.06591880341880342,3.0213675213675213,13.752136752136753,0.013774722289709366,-0.04319720526151693
2,online-critic_20260630T200727008832,artifacts/model-snapshots/online-critic_20260630T200727008832,goal_reached,True,1824,18.240000000000002,12.047865210304735,0.08408388250973076,13.092771291005192,2.946969337495847,-1.0399813736636003,0.16156630139779862,523,0.47782026768642455,0.02375717017208413,2.3021032504780115,5.497131931166348,0.013748656885677819,-0.04305500511646161
3,online-critic_20260630T200748117336,artifacts/model-snapshots/online-critic_20260630T200748117336,goal_reached,True,2710,27.1,22.12552241049707,0.1492500047024805,23.64680812502047,2.346931771369156,-1.2106970676137983,0.08660264839000575,1797,0.3356149137451308,0.004173622704507513,1.1129660545353366,1.73511407902059,0.013867173294670207,-0.043426288521913846
4,online-critic_20260630T200819682953,artifacts/model-snapshots/online-critic_20260630T200819682953,goal_reached,True,2520,25.2,21.079824755550362,0.1431352515355684,22.52359100000467,2.2560347029332415,0.866473075724254,0.08952518662433498,1744,0.37145928899082564,0.003526376146788991,1.0963302752293578,1.6049311926605505,6.269186926646422,0.04381712721542266
5,online-critic_20260630T200837579317,artifacts/model-snapshots/online-critic_20260630T200837579317,max_steps_reached,False,3000,30.0,29.587613822630374,0.18487294440274127,31.573691708006663,1.0999802443949356,-1.0199819215461128,0.03666600814649785,2759,0.36323849220732146,0.0006795940558173251,1.0206596592968467,1.1119971003986953,1.095749943518695,-1.2925840388174181
6,online-critic_20260630T200854086972,artifacts/model-snapshots/online-critic_20260630T200854086972,max_steps_reached,False,3000,30.0,44.6860148148553,0.22548824627301656,47.11984741600463,13.492174320534597,-13.492174320534597,0.44973914401781984,2883,0.26314602844259455,0.00043357613596947626,1.0180367672563302,1.0700659035726674,1.425118184995855,2.0304452680227665
7,online-critic_20260630T200916227191,artifacts/model-snapshots/online-critic_20260630T200916227191,max_steps_reached,False,3000,30.0,35.62091390872956,0.21068376270704903,37.91012012498686,0.0,0.0,0.0,3000,0.242875,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
8,online-critic_20260630T200952890800,artifacts/model-snapshots/online-critic_20260630T200952890800,max_steps_reached,False,3000,30.0,36.32783143030247,0.20120686711743474,38.605382542009465,0.1699983871794111,0.1699983871794111,0.00566661290598037,2758,0.3338469905728789,0.003299492385786802,1.0014503263234227,1.6584481508339377,4.616959930626158,-1.727920001959586
9,online-critic_20260630T201030850938,artifacts/model-snapshots/online-critic_20260630T201030850938,max_steps_reached,False,3000,30.0,37.60637337260414,0.1996724272321444,39.98038049999741,0.1299999675600107,0.1299999675600107,0.004333332252000357,2730,0.45474358974358975,0.004761904761904762,1.0,1.9523809523809523,4.491458615591456,-2.288094162052912
10,online-critic_20260630T201126552916,artifacts/model-snapshots/online-critic_20260630T201126552916,max_steps_reached,False,3000,30.0,35.85266101511661,0.21148282644571736,38.39344333301415,0.0,0.0,0.0,3000,0.3267416666666667,0.0,1.0,1.0,3.975215715441925,-3.6331301292068185
