candidate,seed,alpha,nonzero_terms,term_count,rmse_s,mae_s,r2
linear-steps,11,0.0007920164050192556,2,2,0.7061783884220479,0.4715453239467721,0.6902326678323534
linear-steps,23,1e-05,2,2,0.6842580338438129,0.4659933154436663,0.6800292130580623
linear-steps,37,0.0012263306841775632,2,2,0.7030370482135245,0.46317316671270564,0.6776015157372803
linear-steps,53,1e-05,2,2,0.700983438733397,0.4686070078139187,0.6983782857757125
linear-steps,71,0.0021967070907932353,2,2,0.677940979611739,0.4519919870010074,0.6879875575006345
bilinear-steps,11,0.0005115178099293145,2,3,0.6124640114712302,0.36642036706390524,0.7669935626445477
bilinear-steps,23,1e-05,2,3,0.6168321374399738,0.37028192350543554,0.7399813467490473
bilinear-steps,37,0.0002133604526501411,2,3,0.6314002932425221,0.36161822784596787,0.7399564260346292
bilinear-steps,53,1e-05,2,3,0.6155782274741914,0.36515279983748583,0.767397921978909
bilinear-steps,71,0.00164130719537513,2,3,0.6034436983690227,0.3612832383560583,0.7527924941408038
