epoch,train_mse,val_mse
0,614925.350254714,574643.473400154
1,611756.097595853,571132.335774865
2,607355.780141210,565946.781804163
3,600341.429618375,557613.546646106
4,589125.270891054,544417.248650732
5,571730.449548664,524905.461063994
6,546756.182679417,497708.673862760
7,512838.700866923,461488.715497301
8,468945.941907230,416063.675404780
9,415803.445526857,363393.135697764
10,356974.770220753,308101.913646877
11,298427.444811869,255993.990747880
12,246243.354723389,213009.324980725
13,205884.746804898,181950.904394757
14,178299.416212351,162153.032286045
15,161579.644650997,150048.239205860
16,151328.601662347,141923.377023901
17,143810.796675306,135160.531033153
18,137214.063812673,128716.827968389
19,130723.325766378,121937.179934464
20,124002.279381535,115241.611796453
21,117179.087675395,108434.166249036
22,110376.686745911,101690.411526600
23,103631.076593082,95049.510794140
24,96961.384931629,88610.832305320
25,90532.387165967,82415.623313416
26,84341.783358656,76654.889552814
27,78529.229600500,71150.807729375
28,73051.688265261,66137.632854665
29,67940.778264367,61453.393793369
30,63124.582536420,57139.916321318
31,58692.952006435,53182.316451426
32,54603.471802663,49593.264793755
33,50856.913575833,46386.628855050
34,47499.195638574,43523.082847436
35,44478.466529627,40939.610832691
36,41749.005988024,38630.645732941
37,39322.489230494,36571.980242868
38,37135.034408794,34742.103965883
39,35187.189739923,33127.460172513
40,33425.356063991,31636.528479183
41,31855.014746626,30289.035105050
42,30444.109482527,29068.035394179
43,29173.165966574,27999.309849653
44,28035.201090357,27008.564560042
45,27021.136473322,26113.083293177
46,26107.243632139,25316.195571511
47,25287.416569845,24573.703088859
48,24564.090624721,23894.353965883
49,23906.014210385,23301.314270914
50,23311.556796854,22791.985206245
51,22794.695325766,22301.397672513
52,22331.402806328,21841.538357749
53,21923.462418447,21455.189090208
54,21546.201626598,21090.504324884
55,21211.349629100,20762.632396877
56,20917.387344714,20465.540092521
57,20650.987398338,20186.451835968
58,20407.223701850,19930.180946415
59,20196.410581821,19727.414429934
60,20006.646080972,19499.360109869
61,19826.555009384,19332.531117483
62,19668.934221110,19122.266070740
63,19522.859013317,18977.215051561
64,19384.077039950,18823.126638396
65,19260.775046921,18691.343972870
66,19150.566627938,18567.422796598
67,19047.512467602,18429.397383385
68,18944.914022701,18325.471526841
69,18860.399276075,18219.672326764
70,18768.066717312,18118.816788743
71,18684.253463223,17996.798260409
72,18613.767003307,17914.738001157
73,18531.490615783,17844.125505975
74,18459.973813567,17739.080895817
75,18392.339306462,17651.754210438
76,18330.361917955,17567.400877024
77,18263.788095451,17502.282551079
78,18204.892304942,17425.990193716
79,18144.869470015,17382.497337606
80,18084.981455000,17306.311421791
81,18029.805702029,17226.343882517
82,17974.474305121,17158.550609580
83,17921.713826079,17094.509095509
84,17870.633389937,17049.051705860
85,17825.427384038,16975.303512914
86,17779.432746447,16950.351345653
87,17730.300875860,16869.470147456
88,17678.861381714,16821.270781130
89,17642.209491465,16747.202125096
90,17597.513942265,16719.046429260
91,17550.975466976,16667.729971810
92,17505.686522477,16645.719846280
93,17467.571185986,16563.190114206
94,17436.980561266,16512.553988772
95,17390.148315310,16473.390082884
96,17349.653052105,16419.902274480
97,17313.452274555,16388.363603508
98,17282.684958441,16335.212786719
99,17240.157565466,16302.892618784
100,17206.011573867,16284.321697909
101,17179.776164090,16227.454401985
102,17156.168200912,16166.954438126
103,17112.912771472,16181.559452101
104,17083.850344088,16110.296820788
105,17044.590133167,16072.450342136
106,17013.889713111,16072.738910707
107,16992.791983198,16010.157008963
108,16948.841719546,15969.282466750
109,16919.387255340,15952.772058115
110,16892.760479042,15902.491012914
