candidate,seed,alpha,nonzero_terms,term_count,rmse_s,mae_s,r2
bilinear,11,0.0006846096838574657,3,3,0.3040297096639233,0.18297867864382583,0.8671527512444025
bilinear,23,1e-05,3,3,0.33311939657687095,0.21723839992542213,0.8017825284485955
bilinear,37,1e-05,3,3,0.3100085620195654,0.19555845774173666,0.8289934484262356
bilinear,53,3.7121050090663645e-05,3,3,0.4044182067980231,0.23652374509142438,0.7269739871483308
bilinear,71,0.0021967070907932353,3,3,0.29917949347253175,0.20386936847854642,0.7705460370383795
bilinear-hlog,11,1e-05,4,4,0.29060060700833046,0.17247533039122362,0.8786293858929317
bilinear-hlog,23,1e-05,4,4,0.3291605787116152,0.1779821556047103,0.8064657988654038
bilinear-hlog,37,0.0005917685748188825,4,4,0.30403550216911707,0.17585687384262444,0.8355196694204383
bilinear-hlog,53,6.649435996665046e-05,4,4,0.39170762475103454,0.21444142817871933,0.7438663259160581
bilinear-hlog,71,0.0002855592301990109,4,4,0.28721940555392417,0.17495225570206702,0.788524784667846
bilinear-blog,11,0.003401304938279253,4,4,0.31185728927061246,0.18606617657881658,0.8602240945257337
bilinear-blog,23,0.0021967070907932353,4,4,0.3329805350916328,0.2153285476384076,0.8019477487023807
bilinear-blog,37,0.0006846096838574657,4,4,0.31394111027549987,0.19462015332237564,0.8246273955249156
bilinear-blog,53,0.00164130719537513,3,4,0.40508847842960133,0.2372496925277534,0.7260682255435126
bilinear-blog,71,0.003934927263095849,4,4,0.2988903785701182,0.20366380119227875,0.770989292730114
bilinear-log,11,0.0012263306841775632,4,5,0.2975154068718207,0.17497125491786522,0.8727846736389131
bilinear-log,23,0.00164130719537513,5,5,0.32781280728886486,0.17830986639441776,0.8080474332940059
bilinear-log,37,0.0007920164050192556,5,5,0.3058062888624155,0.17591279635622564,0.8335981321873485
bilinear-log,53,0.000916273901188674,5,5,0.3914060322131484,0.21476586134665387,0.7442605907281074
bilinear-log,71,0.0010600258488068824,5,5,0.28607605665245966,0.17603784131204464,0.790205093850878
